repeat,configuration,instance,lower_bound,upper_bound,instance_wall_seconds,root_ascent_seconds,root_potential_iterations
1,helsgaun32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.037306958,0.010129583,32.0
1,helsgaun64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.047137042,0.019990417,64.0
1,hybrid-reverse16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.037828125,0.010640792,32.0
1,hybrid-reverse32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.047453167,0.020414125,64.0
1,hybrid-reverse64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.619999904337,6110.0,0.067884875,0.040737292,128.0
1,local-full,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch130.tsp,6074.45119536792,6110.0,0.118948667,0.091948625,294.0
1,replace,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6486.5499998695095,6528.0,0.036608791,7.333e-06,0.0
1,polyak8,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6486.5499998695095,6528.0,0.040132875,0.003557584,8.0
1,polyak16,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6486.5499998695095,6528.0,0.043824,0.007057959,16.0
1,polyak32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6486.5499998695095,6528.0,0.050600042,0.013953291,32.0
1,polyak64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6486.5499998695095,6528.0,0.065003542,0.028500834,64.0
1,polyak128,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6487.022148850932,6528.0,0.079512125,0.042979917,100.0
1,polyak-smoothed32,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6486.5499998695095,6528.0,0.05092475,0.014360708,32.0
1,polyak-smoothed64,/Users/a/Ayanami/code/TSP/data/classic/tsplib/ch150.tsp,6486.875718212988,6528.0,0.065363708,0.028729667,64.0
